
> escuela-global-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.20:3000
- Environments: .env.local
✓ Ready in 1527ms

 GET /mis-cursos 200 in 318ms (next.js: 102ms, proxy.ts: 56ms, application-code: 160ms)
 GET /mis-cursos 200 in 277ms (next.js: 14ms, proxy.ts: 96ms, application-code: 167ms)
 GET /mis-cursos 200 in 279ms (next.js: 17ms, proxy.ts: 8ms, application-code: 254ms)
 GET /mis-cursos 200 in 316ms (next.js: 21ms, proxy.ts: 56ms, application-code: 239ms)
 GET /mis-cursos 200 in 315ms (next.js: 60ms, proxy.ts: 18ms, application-code: 236ms)
 GET /mis-cursos 200 in 310ms (next.js: 65ms, proxy.ts: 55ms, application-code: 191ms)
 GET /mis-cursos 200 in 310ms (next.js: 97ms, proxy.ts: 53ms, application-code: 160ms)
 GET /mis-cursos 200 in 275ms (next.js: 13ms, proxy.ts: 92ms, application-code: 170ms)
 GET /mis-cursos 200 in 279ms (next.js: 16ms, proxy.ts: 8ms, application-code: 254ms)
 GET /mis-cursos 200 in 273ms (next.js: 23ms, proxy.ts: 14ms, application-code: 236ms)
 GET /mis-cursos 200 in 315ms (next.js: 62ms, proxy.ts: 19ms, application-code: 234ms)
 GET /mis-cursos 200 in 314ms (next.js: 67ms, proxy.ts: 58ms, application-code: 189ms)
 GET /mis-cursos 200 in 312ms (next.js: 107ms, proxy.ts: 53ms, application-code: 151ms)
 GET /mis-cursos 200 in 268ms (next.js: 12ms, proxy.ts: 93ms, application-code: 163ms)
 GET /mis-cursos 200 in 314ms (next.js: 14ms, proxy.ts: 46ms, application-code: 254ms)
 GET /mis-cursos 200 in 373ms (next.js: 18ms, proxy.ts: 57ms, application-code: 298ms)
 GET /mis-cursos 200 in 355ms (next.js: 18ms, proxy.ts: 50ms, application-code: 286ms)
 GET /mis-cursos 200 in 357ms (next.js: 55ms, proxy.ts: 52ms, application-code: 250ms)
 GET /mis-cursos 200 in 318ms (next.js: 53ms, proxy.ts: 52ms, application-code: 213ms)
 GET /mis-cursos 200 in 317ms (next.js: 13ms, proxy.ts: 96ms, application-code: 208ms)
 GET /mis-cursos 200 in 315ms (next.js: 11ms, proxy.ts: 59ms, application-code: 244ms)
 GET /mis-cursos 200 in 306ms (next.js: 18ms, proxy.ts: 43ms, application-code: 245ms)
 GET /mis-cursos 200 in 319ms (next.js: 61ms, proxy.ts: 14ms, application-code: 245ms)
 GET /mis-cursos 200 in 276ms (next.js: 18ms, proxy.ts: 62ms, application-code: 196ms)
 GET /mis-cursos 200 in 276ms (next.js: 58ms, proxy.ts: 62ms, application-code: 157ms)
 GET /mis-cursos 200 in 272ms (next.js: 52ms, proxy.ts: 52ms, application-code: 168ms)
 GET /mis-cursos 200 in 319ms (next.js: 11ms, proxy.ts: 49ms, application-code: 259ms)
 GET /mis-cursos 200 in 280ms (next.js: 16ms, proxy.ts: 16ms, application-code: 248ms)
 GET /mis-cursos 200 in 313ms (next.js: 21ms, proxy.ts: 56ms, application-code: 235ms)
 GET /mis-cursos 200 in 269ms (next.js: 53ms, proxy.ts: 18ms, application-code: 197ms)
 GET /mis-cursos 200 in 273ms (next.js: 92ms, proxy.ts: 14ms, application-code: 167ms)
 GET /mis-cursos 200 in 282ms (next.js: 15ms, proxy.ts: 95ms, application-code: 171ms)
 GET /mis-cursos 200 in 319ms (next.js: 14ms, proxy.ts: 49ms, application-code: 256ms)
 GET /mis-cursos 200 in 315ms (next.js: 24ms, proxy.ts: 48ms, application-code: 243ms)
 GET /mis-cursos 200 in 308ms (next.js: 17ms, proxy.ts: 61ms, application-code: 229ms)
 GET /mis-cursos 200 in 257ms (next.js: 90ms, proxy.ts: 15ms, application-code: 152ms)
 GET /mis-cursos 200 in 265ms (next.js: 52ms, proxy.ts: 16ms, application-code: 196ms)
 GET /mis-cursos 200 in 266ms (next.js: 14ms, proxy.ts: 94ms, application-code: 158ms)
 GET /mis-cursos 200 in 312ms (next.js: 10ms, proxy.ts: 47ms, application-code: 255ms)
 GET /mis-cursos 200 in 313ms (next.js: 14ms, proxy.ts: 47ms, application-code: 252ms)
 GET /mis-cursos 200 in 329ms (next.js: 18ms, proxy.ts: 58ms, application-code: 253ms)
 GET /mis-cursos 200 in 287ms (next.js: 98ms, proxy.ts: 21ms, application-code: 168ms)
 GET /mis-cursos 200 in 291ms (next.js: 56ms, proxy.ts: 21ms, application-code: 213ms)
 GET /mis-cursos 200 in 286ms (next.js: 13ms, proxy.ts: 98ms, application-code: 175ms)
 GET /mis-cursos 200 in 320ms (next.js: 21ms, proxy.ts: 49ms, application-code: 251ms)
 GET /mis-cursos 200 in 320ms (next.js: 15ms, proxy.ts: 61ms, application-code: 244ms)
 GET /mis-cursos 200 in 304ms (next.js: 21ms, proxy.ts: 58ms, application-code: 225ms)
 GET /mis-cursos 200 in 263ms (next.js: 59ms, proxy.ts: 20ms, application-code: 184ms)
 GET /mis-cursos 200 in 269ms (next.js: 95ms, proxy.ts: 23ms, application-code: 151ms)
 GET /mis-cursos 200 in 305ms (next.js: 18ms, proxy.ts: 123ms, application-code: 165ms)
 GET /mis-cursos 200 in 274ms (next.js: 12ms, proxy.ts: 50ms, application-code: 212ms)
 GET /mis-cursos 200 in 318ms (next.js: 16ms, proxy.ts: 49ms, application-code: 253ms)
 GET /mis-cursos 200 in 319ms (next.js: 18ms, proxy.ts: 60ms, application-code: 241ms)
 GET /mis-cursos 200 in 279ms (next.js: 57ms, proxy.ts: 19ms, application-code: 203ms)
 GET /mis-cursos 200 in 308ms (next.js: 60ms, proxy.ts: 52ms, application-code: 196ms)
 GET /mis-cursos 200 in 313ms (next.js: 60ms, proxy.ts: 93ms, application-code: 160ms)
 GET /mis-cursos 200 in 276ms (next.js: 13ms, proxy.ts: 49ms, application-code: 215ms)
 GET /mis-cursos 200 in 322ms (next.js: 12ms, proxy.ts: 52ms, application-code: 258ms)
 GET /mis-cursos 200 in 314ms (next.js: 19ms, proxy.ts: 54ms, application-code: 240ms)
 GET /mis-cursos 200 in 278ms (next.js: 62ms, proxy.ts: 17ms, application-code: 199ms)
 GET /mis-cursos 200 in 321ms (next.js: 57ms, proxy.ts: 60ms, application-code: 204ms)
 GET /mis-cursos 200 in 293ms (next.js: 60ms, proxy.ts: 54ms, application-code: 179ms)
 GET /mis-cursos 200 in 359ms (next.js: 12ms, proxy.ts: 52ms, application-code: 295ms)
 GET /mis-cursos 200 in 372ms (next.js: 17ms, proxy.ts: 43ms, application-code: 313ms)
 GET /mis-cursos 200 in 424ms (next.js: 29ms, proxy.ts: 61ms, application-code: 334ms)
 GET /mis-cursos 200 in 383ms (next.js: 129ms, proxy.ts: 28ms, application-code: 226ms)
 GET /mis-cursos 200 in 408ms (next.js: 55ms, proxy.ts: 127ms, application-code: 225ms)
 GET /mis-cursos 200 in 302ms (next.js: 20ms, proxy.ts: 103ms, application-code: 179ms)
 GET /mis-cursos 200 in 258ms (next.js: 61ms, proxy.ts: 11ms, application-code: 186ms)
 GET /mis-cursos 200 in 372ms (next.js: 14ms, proxy.ts: 56ms, application-code: 302ms)
 GET /mis-cursos 200 in 363ms (next.js: 18ms, proxy.ts: 60ms, application-code: 285ms)
 GET /mis-cursos 200 in 313ms (next.js: 73ms, proxy.ts: 17ms, application-code: 224ms)
 GET /mis-cursos 200 in 306ms (next.js: 70ms, proxy.ts: 63ms, application-code: 173ms)
 GET /mis-cursos 200 in 240ms (next.js: 16ms, proxy.ts: 122ms, application-code: 103ms)
 GET /mis-cursos 200 in 123ms (next.js: 60ms, proxy.ts: 12ms, application-code: 51ms)
 GET /mis-cursos 200 in 230ms (next.js: 126ms, proxy.ts: 33ms, application-code: 71ms)
 GET /mis-cursos 200 in 241ms (next.js: 127ms, proxy.ts: 37ms, application-code: 77ms)
 GET /mis-cursos 200 in 229ms (next.js: 121ms, proxy.ts: 37ms, application-code: 70ms)
 GET /mis-cursos 200 in 239ms (next.js: 135ms, proxy.ts: 37ms, application-code: 67ms)
 GET /mis-cursos 200 in 214ms (next.js: 121ms, proxy.ts: 35ms, application-code: 58ms)
 GET /mis-certificados 200 in 114ms (next.js: 70ms, application-code: 44ms)
 GET /mis-cursos 200 in 58ms (next.js: 10ms, proxy.ts: 8ms, application-code: 39ms)
 GET /auth/login 200 in 818ms (next.js: 169ms, proxy.ts: 8ms, application-code: 642ms)
node.exe : [browser] A tree hydrated but some attributes of the server rendered HTML didn't match the client 
properties. This won't be patched up. This can happen if a SSR-ed Client Component used:
En línea: 1 Carácter: 1
+ & "C:\Program Files\nodejs/node.exe" "C:\Program Files\nodejs/node_mo ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: ([browser] A tre...Component used::String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 

- A server/client branch `if (typeof window !== 'undefined')`.
- Variable input such as `Date.now()` or `Math.random()` which changes each time it's called.
- Date formatting in a user's locale which doesn't match the server.
- External changing data without sending a snapshot of it along with the HTML.
- Invalid HTML tag nesting.

It can also happen if the client has a browser extension installed which messes with the HTML before React loaded.

https://react.dev/link/hydration-mismatch

  ...
    <HotReload globalError={[...]} webSocket={WebSocket} staticIndicatorState={{pathname:null, ...}}>
      <AppDevOverlayErrorBoundary globalError={[...]}>
        <ReplaySsrOnlyErrors>
        <DevRootHTTPAccessFallbackBoundary>
          <HTTPAccessFallbackBoundary notFound={<NotAllowedRootHTTPFallbackError>}>
            <HTTPAccessFallbackErrorBoundary pathname="/auth/login" notFound={<NotAllowedRootHTTPFallbackError>} ...>
              <RedirectBoundary>
                <RedirectErrorBoundary router={{...}}>
                  <Head>
                  <__next_root_layout_boundary__>
                    <SegmentViewNode type="layout" pagePath="layout.tsx">
                      <SegmentTrieNode>
                      <link>
                      <script>
                      <script>
                      <script>
                      <script>
                      <script>
                      <script>
                      <RootLayout>
                        <html lang="es" className="raleway_6e...">
                          <body
                            className="min-h-full flex flex-col"
-                           cz-shortcut-listen="true"
                          >
                  ...
 
 GET /panel 200 in 136ms (next.js: 77ms, proxy.ts: 14ms, application-code: 45ms)
